Date,Open,High,Low,Close,Volume,Change
2021-04-01,34219,35115,33276,34219,1584673,-0.07175021701388884
2021-04-02,34262,34621,33096,33187,1122940,-0.09974500868055558
2021-04-05,32782,33633,31929,32290,1162974,-0.10447347255733974
2021-04-06,32335,32828,31482,31708,781180,-0.11622721444896589
2021-04-07,31571,32469,31213,31752,696428,-0.09692832764505122
2021-04-08,31705,33005,31571,32200,837229,-0.05900230865893219
2021-04-09,32242,32736,31705,32065,582912,-0.033808418959231035
2021-04-12,32019,32064,31392,31528,639673,-0.023598637349024454
2021-04-13,31390,32467,31032,32065,841902,0.011258988267945025
2021-04-14,32109,32334,31750,31886,463911,0.00422020660115896
2021-04-15,31839,33229,31480,31931,1001634,-0.008354037267080727
2021-04-16,31930,32020,31437,31573,645591,-0.015343832839544658
2021-04-19,31573,32065,31034,31708,854417,0.005709210860187719
2021-04-20,31662,32424,31347,31483,813259,-0.018150631529705308
2021-04-21,31257,31436,30854,30855,745032,-0.032333939660038835
2021-04-22,30988,31527,30450,30855,848970,-0.033697660580626954
2021-04-23,30628,31167,30538,30720,638242,-0.02701675482215815
2021-04-26,30585,32828,30317,32425,1862932,0.022612589882679446
2021-04-27,32468,32513,31033,31124,897490,-0.01140297938570023
2021-04-28,30989,31169,30138,30138,938448,-0.023237724842002927
2021-04-29,30001,30627,29731,29778,750168,-0.03490520175012157
2021-04-30,29775,30224,29327,29688,694699,-0.03359374999999998
2021-05-03,29597,29597,28296,28433,1085826,-0.12311488049344643
2021-05-04,28295,31121,28206,29778,1525531,-0.04324636936126458
2021-05-06,29373,29777,28611,29330,743494,-0.026810007299754468
2021-05-07,29327,30225,29194,29778,621751,0.0
2021-05-10,29776,31076,29372,30540,834647,0.028698464025868953
2021-05-11,30494,31122,29463,29509,766308,0.0378433510357683
2021-05-12,29508,29553,28701,28792,604669,-0.03311169319631946
2021-05-13,28343,28925,28207,28344,555751,-0.033617456529151046
2021-05-14,29015,29015,28343,28657,446003,-0.03764524145342196
