date,title,user,views,recommends,unrecommends
2022-10-26 17:05:00,cca0 까요. Khan 깐돌이. Jsto 조또,"
				kmpk****
			",159,5,2
2022-10-26 16:53:00,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,"
				dafu****
			",304,0,4
2022-10-26 16:44:00,15년후...,"
				dmlt****
			",180,1,1
2022-10-26 16:36:00,"■.[유증이슈] ""HLB""","
				endj****
			",253,0,1
2022-10-26 16:32:00,이번주 결과 발표 못한다  절대!!!!  왜 그럴까?,"
				jsk1****
			",234,1,2
2022-10-26 16:21:00,레쓰끼리롱입니다 ,"
				odan****
			",139,0,0
2022-10-26 16:06:00,거래량 실화냐,"
				h1******
			",170,0,0
2022-10-26 16:03:00,쉿!!! 33만 ,"
				ms******
			",213,0,6
2022-10-26 16:01:00,회사 공지를 믿어도 될가?,"
				kjn6****
			",732,16,1
2022-10-26 15:53:00,오늘도 연일 개인만 호구네,"
				pmho****
			",239,3,2
2022-10-26 15:49:00,지연되겠지 뭐,"
				jhj6****
			",129,0,1
2022-10-26 15:48:00,하락의 서막이 올랐다.,"
				seok****
			",137,2,1
2022-10-26 14:59:00,코스닥 지지선이 없다 650 초반까지 또 빠질듯..,"
				byth****
			",148,1,0
2022-10-26 14:53:00,신주인수권 들어옴,"
				1_wo****
			",574,2,1
2022-10-26 14:53:00,음 그래 겁먹은 개미 물량 잘나온다,"
				aiii****
			",210,0,5
2022-10-26 14:44:00,세계3대의 눈물,"
				dn******
			",235,3,1
2022-10-26 14:42:00,유증 안내 톡 왔네,"
				yj******
			",376,1,0
2022-10-26 14:33:00,이뮤노믹 문제,"
				jhj6****
			",223,5,3
2022-10-26 14:31:00,강원도가 문제야?,"
				jhj6****
			",191,10,1
2022-10-26 14:29:00,또 구라?다.. 끝낫다,"
				jsk1****
			",164,4,0
2022-10-26 14:29:00,[삭제된 게시물의 답글]그냥 믿으세요.,"
				phg5****
			",110,0,3
2022-10-26 14:23:00,이뮤노믹,"
				cyh1****
			",172,2,0
2022-10-26 14:23:00,고니가 이번주 호재 낼거같나,"
				aiii****
			",183,3,4
2022-10-26 14:06:00,개잡주,"
				sy66****
			",117,1,1
2022-10-26 14:05:00,[삭제된 게시물의 답글]HLB 팩트체크,"
				phg5****
			",103,1,0
2022-10-26 14:02:00,그냥 나라망 했다고 하자,"
				jhj6****
			",129,1,3
2022-10-26 13:59:00,속아 속아 거짓말에 속아 으히힛,"
				kang****
			",128,1,0
2022-10-26 13:58:00,물탈돈도 없는데 어지간히 눌러되네,"
				tuba****
			",146,2,0
2022-10-26 13:56:00,거짓말~~~거짓말~~~또속아?ㅋㅋㅋ  이번엔 뭘핑계될지 ,"
				kang****
			",124,2,1
2022-10-26 13:48:00,"■.[긴급특보] ""HLB""","
				endj****
			",220,1,0
2022-10-26 13:39:00,줍줍   !,"
				kore****
			",137,0,1
2022-10-26 13:27:00,잘 들고 내려가시게들..^.^..,"
				mbjs****
			",139,2,1
2022-10-26 13:16:00,어우ㅅㅂ,"
				anso****
			",115,0,0
2022-10-26 13:44:00,[삭제된 게시물의 답글]세계 최고들만 모였다. HLB 파이브 !,"
				alph****
			",92,0,0
2022-10-26 13:06:00,시간대별 긴장감유지,"
				yoon****
			",152,0,1
2022-10-26 13:06:00,캘리포니아 지진났다던데,"
				qaqa****
			",246,5,0
2022-10-26 12:53:00,속보!!!!  이뮤노믹 ,"
				cc******
			",409,6,13
2022-10-26 12:25:00,아주즙을짜는구나,"
				hyu2****
			",114,0,0
2022-10-26 12:24:00,교모세포종이 뭔지 궁금하신가요??,"
				myde****
			",169,1,1
2022-10-26 12:22:00,KB증권,"
				yoon****
			",165,5,0
2022-10-26 12:22:00,신주인수권,"
				jung****
			",226,1,1
2022-10-26 12:03:00,하락은 10% 상승은 6~7% 반복  ㅋㅋㅋ ,"
				woon****
			",137,1,1
2022-10-26 11:55:00,육계장 먹다가,"
				jhj6****
			",166,1,1
2022-10-26 11:46:00,거래량,"
				lyuj****
			",202,3,1
2022-10-26 11:46:00,●진회장 이제 꺼내보소! 주머니속 재료들●,"
				eros****
			",201,4,1
