date,post_count,views_sum,net_recommends_sum,views_avg,net_recommends_avg,views_log_growth_5,net_recommends_log_growth_5,post_count_log_growth_5,views_log_growth_10,net_recommends_log_growth_10,post_count_log_growth_10,views_log_growth_20,net_recommends_log_growth_20,post_count_log_growth_20,label_1_ratio,Date,Open,High,Low,Close,Volume,Change,EMA5,EMA20,MACD,Signal,RSI,Bollenger_high,Bollenger_low
2022-05-03,131,20854.0,78.0,20854.0,114.0,0.0062050753460427,-0.0595920972022456,0.3319025409311476,0.4624176297643785,0.9520088144762344,1.2916783847450417,-0.5596294885361942,-1.022703325482785,-0.1220149505629635,0.3282442748091603,2022-05-03,27264,27444,26816,26908,297304,-0.0033335802652048,27060.46193182441,27116.60107144829,-140.4375281084358,-187.52962521772912,47.76037254654103,28082.870937285392,25894.52906271461
2022-05-04,146,22498.0,73.0,22498.0,109.0,-0.6533858287997248,-0.5969191484653915,-0.1521918153419253,1.2419319791237255,0.3346390555395519,1.5824092400461809,-0.0180597781609767,-0.3775563199910879,0.3014753945841167,0.2465753424657534,2022-05-04,26907,26952,26459,26460,348103,-0.0033522919883988,26860.30795454961,27054.06763607227,-176.98871486671123,-185.4214431475256,44.716356374242025,28087.046137731275,25854.553862268724
2022-05-06,133,30586.0,159.0,30586.0,195.0,0.5256807247569149,0.2295744416445001,1.0191481173138628,0.069060598509709,0.0689928714869514,0.0863280834884972,0.6380652179358208,0.6190392084062235,0.9783261227936078,0.2180451127819548,2022-05-06,26458,26996,26100,26863,423602,0.0101150635481688,26861.205303033075,27035.8707183511,-171.460570989384,-182.62926871589724,47.931260523702726,28087.046137731275,25854.553862268724
2022-05-09,138,29149.0,73.0,29149.0,109.0,0.2589941905201021,0.0,-0.0563529365511317,-0.3943916382796226,-0.5969191484653915,-0.208544751893057,-0.0833280893759225,-0.264479175372117,0.1150693297847872,0.2826086956521739,2022-05-09,26952,27534,26414,26460,564887,-0.0514429109159347,26727.47020202205,26981.02588803195,-197.32358566111725,-185.56813210494124,45.106417070825806,28091.27837090228,25823.52162909773
2022-05-10,107,18985.0,76.0,18985.0,112.0,0.0270142414884772,-0.579818495252942,0.8441874379728113,0.3740950698354806,2.320603598496724,1.1763212729954258,-0.1889713319323469,0.0,0.0093897403498391,0.2710280373831775,2022-05-10,26009,26547,25874,25921,597192,-0.0477922268753214,26458.64680134804,26880.07104155272,-258.33508051035096,-200.1215217860232,41.57704416145472,28122.93290853631,25760.367091463693
2022-05-11,208,43068.0,203.0,43068.0,239.0,0.3422378740275389,0.2034639933677639,0.4471889514795641,0.8679185987844538,0.4330384350122641,1.466337068793427,0.5833523760523811,0.7579646806364162,0.4248831939652659,0.25,2022-05-11,25920,27895,25562,27806,993459,0.0333729745800506,26907.764534232025,26968.25475188103,-152.8217493465345,-190.66156729812548,54.87497204236459,28194.203350709737,25864.096649290263
2022-05-12,608,145670.0,927.0,145670.0,963.0,2.6113804611368625,2.6215581697487664,3.232121051618221,1.8226002076474104,2.066032367064869,1.700644680653833,1.4604097261963676,1.2790664312872688,1.1320602227356498,0.2549342105263157,2022-05-12,27445,33096,27400,30317,5407774,0.1457671957671957,28044.176356154683,27287.182870749504,131.8946411589859,-126.1503256067032,65.98260541585277,29013.495574585708,25327.404425414294
2022-05-13,1337,280297.0,1943.0,280297.0,1979.0,3.7419850631298495,4.156359741117419,4.364970233045727,2.5983039789276567,2.85414849720807,2.322986253900792,3.0607216086920355,3.806157311684304,3.614664638645833,0.2827225130890052,2022-05-13,34980,39375,31346,38120,10415574,0.4190522279715594,31402.78423743645,28318.879740201934,975.921503906513,94.26404029594002,81.34771521268414,32826.53142018834,22586.26857981166
2022-05-16,926,214448.0,1070.0,214448.0,1106.0,1.6052870227826703,1.5320416301507696,1.4933361549448614,1.9475248968102088,1.735505623518533,1.940525106424425,2.0165854953199185,1.8044984950054848,2.0268531899129227,0.2494600431965442,2022-05-16,40362,43231,38433,39735,5825328,0.5017006802721089,34180.1894916243,29406.12928875413,1754.9064077240146,426.39251378155495,83.05380692638781,35646.295083115954,21004.40491688404
2022-05-17,481,133171.0,1065.0,133171.0,1101.0,-0.0897097727762282,0.1339207249245544,-0.2343076118604058,2.521670688360634,2.755478894673321,2.997813439757816,1.6814760824361503,1.700669228663604,1.3883755273237153,0.3367983367983368,2022-05-17,39196,41617,38927,40991,2401396,0.5813818911307433,36450.45966108288,30509.450308872787,2445.4170143306183,830.1974138913677,84.25963897212893,38152.2033214502,19861.9966785498
